['agatisiez', 'agatifiez']
['sanas', 'fanas']
['sang', 'fang']
['sans', 'fans']
['santon', 'fanton']
['santons', 'fantons']
['sar', 'far']
['sarde', 'farde']
['sardes', 'fardes']
['sargue', 'fargue']
['sargues', 'fargues']
['saros', 'faros']
['sars', 'fars']
['sarta', 'farta']
['sartai', 'fartai']
['sartaient', 'fartaient']
['sartais', 'fartais']
['sartait', 'fartait']
['sartant', 'fartant']
['sartas', 'fartas']
['sartasse', 'fartasse']
['fartasse', 'sartasse']
['sartassent', 'fartassent']
['fartassent', 'sartassent']
['sartasses', 'fartasses']
['fartasses', 'sartasses']
['sartassiez', 'fartassiez']
['fartassiez', 'sartassiez']
['sartassions', 'fartassions']
['fartassions', 'sartassions']
['sarte', 'farte']
['sartent', 'fartent']
['sarter', 'farter']
['sartera', 'fartera']
['sarterai', 'farterai']
['sarteraient', 'farteraient']
['sarterais', 'farterais']
['sarterait', 'farterait']
['sarteras', 'farteras']
['sarterez', 'farterez']
['sarteriez', 'farteriez']
['sarterions', 'farterions']
['sarterons', 'farterons']
['sarteront', 'farteront']
['sartes', 'fartes']
['sartez', 'fartez']
['sartiez', 'fartiez']
['sartions', 'fartions']
['sartons', 'fartons']
['sartâmes', 'fartâmes']
['sartât', 'fartât']
['sartâtes', 'fartâtes']
['sartèrent', 'fartèrent']
['sarté', 'farté']
['sartée', 'fartée']
['sartées', 'fartées']
['sartés', 'fartés']
['sasse', 'fasse']
['fasse', 'sasse']
['fasse', 'faffe', 'sasse', 'faffe']
['sassent', 'fassent']
['fassent', 'sassent']
['sasses', 'fasses']
['fasses', 'sasses']
['fasses', 'faffes', 'sasses', 'faffes']
['sassiez', 'fassiez']
['fassiez', 'sassiez']
['sassions', 'fassions']
['fassions', 'sassions']
['saune', 'faune']
['saunes', 'faunes']
['saut', 'faut']
['sauta', 'fauta']
['sautai', 'fautai']
['sautaient', 'fautaient']
['sautais', 'fautais']
['sautait', 'fautait']
['sautant', 'fautant']
['sautas', 'fautas']
['sautasse', 'fautasse']
['fautasse', 'sautasse']
['sautassent', 'fautassent']
['fautassent', 'sautassent']
['sautasses', 'fautasses']
['fautasses', 'sautasses']
['sautassiez', 'fautassiez']
['fautassiez', 'sautassiez']
['sautassions', 'fautassions']
['fautassions', 'sautassions']
['saute', 'faute']
['sautent', 'fautent']
['sauter', 'fauter']
['sautera', 'fautera']
['sauterai', 'fauterai']
['sauteraient', 'fauteraient']
['sauterais', 'fauterais']
['sauterait', 'fauterait']
['sauteras', 'fauteras']
['sauterez', 'fauterez']
['sauteriez', 'fauteriez']
['sauterions', 'fauterions']
['sauterons', 'fauterons']
['sauteront', 'fauteront']
['sautes', 'fautes']
['sauteur', 'fauteur']
['sauteurs', 'fauteurs']
['sauteuse', 'fauteuse']
['sautez', 'fautez']
['sautiez', 'fautiez']
['sautions', 'fautions']
['sautons', 'fautons']
['sautâmes', 'fautâmes']
['sautât', 'fautât']
['sautâtes', 'fautâtes']
['sautèrent', 'fautèrent']
['sauté', 'fauté']
['sauve', 'fauve']
['sauves', 'fauves']
['sauvette', 'fauvette']
['sauvettes', 'fauvettes']
['saveur', 'faveur']
['saveurs', 'faveurs']
['sax', 'fax']
['saxe', 'faxe']
['saxes', 'faxes']
['saxons', 'faxons']
['seins', 'feins']
['selle', 'felle']
['selles', 'felles']
['semelle', 'femelle']
['semelles', 'femelles']
['sen', 'fen']
['senestre', 'fenestre']
['fenestre', 'senestre']
['senestres', 'fenestres']
['fenestres', 'senestres']
['sente', 'fente']
['sentes', 'fentes']
['sentons', 'fentons']
['sera', 'fera']
['serai', 'ferai']
['seraient', 'feraient']
['serais', 'ferais']
['serait', 'ferait']
['seras', 'feras']
['serez', 'ferez']
['seriez', 'feriez']
['serions', 'ferions']
['serment', 'ferment']
['serments', 'ferments']
['sermons', 'fermons']
['serons', 'ferons']
['seront', 'feront']
['serra', 'ferra']
['serrage', 'ferrage']
['serrages', 'ferrages']
['serrai', 'ferrai']
['serraient', 'ferraient']
['serrais', 'ferrais']
['serrait', 'ferrait']
['serrant', 'ferrant']
['serras', 'ferras']
['serrasse', 'ferrasse']
['ferrasse', 'serrasse']
['serrassent', 'ferrassent']
['ferrassent', 'serrassent']
['serrasses', 'ferrasses']
['ferrasses', 'serrasses']
['serrassiez', 'ferrassiez']
['ferrassiez', 'serrassiez']
['serrassions', 'ferrassions']
['ferrassions', 'serrassions']
['serrate', 'ferrate']
['serrates', 'ferrates']
['serre', 'ferre']
['serrement', 'ferrement']
['serrements', 'ferrements']
['serrent', 'ferrent']
['serrer', 'ferrer']
['serrera', 'ferrera']
['serrerai', 'ferrerai']
['serreraient', 'ferreraient']
['serrerais', 'ferrerais']
['serrerait', 'ferrerait']
['serreras', 'ferreras']
['serrerez', 'ferrerez']
['serreriez', 'ferreriez']
['serrerions', 'ferrerions']
['serrerons', 'ferrerons']
['serreront', 'ferreront']
['serres', 'ferres']
['serrez', 'ferrez']
['serriez', 'ferriez']
['serrions', 'ferrions']
['serrons', 'ferrons']
['serrure', 'ferrure']
['serrures', 'ferrures']
['serrâmes', 'ferrâmes']
['serrât', 'ferrât']
['serrâtes', 'ferrâtes']
['serrèrent', 'ferrèrent']
['serré', 'ferré']
['serrée', 'ferrée']
['serrées', 'ferrées']
['serrés', 'ferrés']
['sers', 'fers']
['servent', 'fervent']
['serveur', 'ferveur']
['serveurs', 'ferveurs']
['sessions', 'fessions']
['fessions', 'sessions']
['seuil', 'feuil']
['seuils', 'feuils']
['seule', 'feule']
['seulement', 'feulement']
['seules', 'feules']
['si', 'fi']
['sic', 'fic']
['sicaire', 'ficaire']
['sicaires', 'ficaires']
['sicus', 'ficus']
['siesta', 'fiesta']
['fiesta', 'siesta']
['siestas', 'fiestas']
['fiestas', 'siestas']
['sil', 'fil']
['silicique', 'filicique']
['siliciques', 'filiciques']
['sillasse', 'fillasse']
['fillasse', 'sillasse']
['sillasses', 'fillasses']
['fillasses', 'sillasses']
['sille', 'fille']
['siller', 'filler']
['silles', 'filles']
['sillonna', 'fillonna']
['sillonnai', 'fillonnai']
['sillonnaient', 'fillonnaient']
['sillonnais', 'fillonnais']
['sillonnait', 'fillonnait']
['sillonnant', 'fillonnant']
['sillonnas', 'fillonnas']
['sillonnasse', 'fillonnasse']
['fillonnasse', 'sillonnasse']
['sillonnassent', 'fillonnassent']
['fillonnassent', 'sillonnassent']
['sillonnasses', 'fillonnasses']
['fillonnasses', 'sillonnasses']
['sillonnassiez', 'fillonnassiez']
['fillonnassiez', 'sillonnassiez']
['sillonnassions', 'fillonnassions']
['fillonnassions', 'sillonnassions']
['sillonne', 'fillonne']
['sillonnent', 'fillonnent']
['sillonner', 'fillonner']
['sillonnera', 'fillonnera']
['sillonnerai', 'fillonnerai']
['sillonneraient', 'fillonneraient']
['sillonnerais', 'fillonnerais']
['sillonnerait', 'fillonnerait']
['sillonneras', 'fillonneras']
['sillonnerez', 'fillonnerez']
['sillonneriez', 'fillonneriez']
['sillonnerions', 'fillonnerions']
['sillonnerons', 'fillonnerons']
['sillonneront', 'fillonneront']
['sillonnes', 'fillonnes']
['sillonnez', 'fillonnez']
['sillonniez', 'fillonniez']
['sillonnions', 'fillonnions']
['sillonnons', 'fillonnons']
['sillonnâmes', 'fillonnâmes']
['sillonnât', 'fillonnât']
['sillonnâtes', 'fillonnâtes']
['sillonnèrent', 'fillonnèrent']
['sillonné', 'fillonné']
['sillonnée', 'fillonnée']
['sillonnées', 'fillonnées']
['sillonnés', 'fillonnés']
['sils', 'fils']
['sima', 'fima']
['sis', 'fis']
['siée', 'fiée']
['slave', 'flave']
['slip', 'flip']
['slips', 'flips']
['slop', 'flop']
['slops', 'flops']
['slows', 'flows']
['soc', 'foc']
['socs', 'focs']
['soi', 'foi']
['soie', 'foie']
['soies', 'foies']
['soin', 'foin']
['soins', 'foins']
['soirée', 'foirée']
['soirées', 'foirées']
['sois', 'fois']
['sol', 'fol']
['solmisiez', 'solmifiez']
['solmifiez', 'solmisiez']
['solmisions', 'solmifions']
['solmifions', 'solmisions']
['sols', 'fols']
['sonda', 'fonda']
['sondai', 'fondai']
['sondaient', 'fondaient']
['sondais', 'fondais']
['sondait', 'fondait']
['sondant', 'fondant']
['sondas', 'fondas']
['sondasse', 'fondasse']
['fondasse', 'sondasse']
['sondassent', 'fondassent']
['fondassent', 'sondassent']
['sondasses', 'fondasses']
['fondasses', 'sondasses']
['sondassiez', 'fondassiez']
['fondassiez', 'sondassiez']
['sondassions', 'fondassions']
['fondassions', 'sondassions']
['sonde', 'fonde']
['sondent', 'fondent']
['sonder', 'fonder']
['sondera', 'fondera']
['sonderai', 'fonderai']
['sonderaient', 'fonderaient']
['sonderais', 'fonderais']
['sonderait', 'fonderait']
['sonderas', 'fonderas']
['sonderez', 'fonderez']
['sonderiez', 'fonderiez']
['sonderions', 'fonderions']
['sonderons', 'fonderons']
['sonderont', 'fonderont']
['sondes', 'fondes']
['sondeur', 'fondeur']
['sondeurs', 'fondeurs']
['sondeuse', 'fondeuse']
['fondeuse', 'sondeuse']
['sondeuses', 'fondeuses']
['fondeuses', 'sondeuses']
['sondez', 'fondez']
['sondiez', 'fondiez']
['sondions', 'fondions']
['sondons', 'fondons']
['sondâmes', 'fondâmes']
['sondât', 'fondât']
['sondâtes', 'fondâtes']
['sondèrent', 'fondèrent']
['sondé', 'fondé']
['sondée', 'fondée']
['sondées', 'fondées']
['sondés', 'fondés']
['sont', 'font']
['sore', 'fore']
['sores', 'fores']
['sors', 'fors']
['sort', 'fort']
['sorte', 'forte']
['sortes', 'fortes']
['sorts', 'forts']
['sosie', 'sofie']
['sofie', 'sosie']
['sosies', 'sofies']
['sofies', 'sosies']
['sou', 'fou']
['souche', 'fouche']
['souches', 'fouches']
['soudre', 'foudre']
['souilla', 'fouilla']
['souillai', 'fouillai']
['souillaient', 'fouillaient']
['souillais', 'fouillais']
['souillait', 'fouillait']
['souillant', 'fouillant']
['souillas', 'fouillas']
['souillasse', 'fouillasse']
['fouillasse', 'souillasse']
['souillassent', 'fouillassent']
['fouillassent', 'souillassent']
['souillasses', 'fouillasses']
['fouillasses', 'souillasses']
['souillassiez', 'fouillassiez']
['fouillassiez', 'souillassiez']
['souillassions', 'fouillassions']
['fouillassions', 'souillassions']
['souille', 'fouille']
['souillent', 'fouillent']
['souiller', 'fouiller']
['souillera', 'fouillera']
['souillerai', 'fouillerai']
['souilleraient', 'fouilleraient']
['souillerais', 'fouillerais']
['souillerait', 'fouillerait']
['souilleras', 'fouilleras']
['souillerez', 'fouillerez']
['souilleriez', 'fouilleriez']
['souillerions', 'fouillerions']
['souillerons', 'fouillerons']
['souilleront', 'fouilleront']
['souilles', 'fouilles']
['souillez', 'fouillez']
['souilliez', 'fouilliez']
['souillions', 'fouillions']
['souillons', 'fouillons']
['souillure', 'fouillure']
['souillures', 'fouillures']
['souillâmes', 'fouillâmes']
['souillât', 'fouillât']
['souillâtes', 'fouillâtes']
['souillèrent', 'fouillèrent']
['souillé', 'fouillé']
['souillée', 'fouillée']
['souillées', 'fouillées']
['souillés', 'fouillés']
['soulage', 'foulage']
['soulages', 'foulages']
['souloir', 'fouloir']
['sous', 'fous']
['sousou', 'foufou']
['sousous', 'foufous']
['souta', 'fouta']
['soutaient', 'foutaient']
['soutais', 'foutais']
['soutait', 'foutait']
['soutant', 'foutant']
['soute', 'foute']
['soutent', 'foutent']
['soutes', 'foutes']
['soutez', 'foutez']
['soutiez', 'foutiez']
['soutions', 'foutions']
['soutons', 'foutons']
['soutra', 'foutra']
['soutras', 'foutras']
['soyer', 'foyer']
['soyers', 'foyers']
['starisiez', 'starifiez']
['starifiez', 'starisiez']
['starisions', 'starifions']
['starifions', 'starisions']
['subérisiez', 'subérifiez']
['subérifiez', 'subérisiez']
['subérisions', 'subérifions']
['subérifions', 'subérisions']
['suie', 'fuie']
['suies', 'fuies']
['fuisse', 'suiffe']
['fuissent', 'suiffent']
['fuisses', 'suiffes']
['fuissiez', 'suiffiez']
['fuissions', 'suiffions']
['suis', 'fuis']
['suisse', 'fuisse']
['fuisse', 'suisse']
['suisse', 'suiffe']
['fuisse', 'suiffe', 'suisse']
['suisses', 'fuisses']
['fuisses', 'suisses']
['suisses', 'suiffes']
['fuisses', 'suiffes', 'suisses']
['suit', 'fuit']
['suite', 'fuite']
['suites', 'fuites']
['sur', 'fur']
['suranne', 'furanne']
['surannes', 'furannes']
['surent', 'furent']
['suret', 'furet']
['surets', 'furets']
['surette', 'furette']
['surie', 'furie']
['suries', 'furies']
['sursirent', 'surfirent']
['surfirent', 'sursirent']
['sursis', 'surfis']
['surfis', 'sursis']
['sursisse', 'surfisse']
['surfisse', 'sursisse']
['sursissent', 'surfissent']
['surfissent', 'sursissent']
['sursisses', 'surfisses']
['surfisses', 'sursisses']
['sursissiez', 'surfissiez']
['surfissiez', 'sursissiez']
['sursissions', 'surfissions']
['surfissions', 'sursissions']
['sursit', 'surfit']
['surfit', 'sursit']
['sursîmes', 'surfîmes']
['surfîmes', 'sursîmes']
['sursît', 'surfît']
['surfît', 'sursît']
['sursîtes', 'surfîtes']
['surfîtes', 'sursîtes']
['sus', 'fus']
['susse', 'fusse']
['fusse', 'susse']
['sussent', 'fussent']
['fussent', 'sussent']
['susses', 'fusses']
['fusses', 'susses']
['sussiez', 'fussiez']
['fussiez', 'sussiez']
['sussions', 'fussions']
['fussions', 'sussions']
['sut', 'fut']
['suture', 'future']
['sutures', 'futures']
['sève', 'fève']
['sèves', 'fèves']
['séculier', 'féculier']
['séculiers', 'féculiers']
['séculière', 'féculière']
['séculières', 'féculières']
['séline', 'féline']
['sélines', 'félines']
['séria', 'féria']
['sérial', 'férial']
['sérias', 'férias']
['série', 'férie']
['séries', 'féries']
['sérine', 'férine']
['sérines', 'férines']
['sérié', 'férié']
['sériée', 'fériée']
['sériées', 'fériées']
['sériés', 'fériés']
['sûmes', 'fûmes']
['sût', 'fût']
['sûtes', 'fûtes']
['tasse', 'taffe']
['tasses', 'taffes']
['tisse', 'tiffe']
['tisses', 'tiffes']
['toussa', 'touffa']
['toussai', 'touffai']
['toussaient', 'touffaient']
['toussais', 'touffais']
['toussait', 'touffait']
['toussant', 'touffant']
['toussas', 'touffas']
['toussasse', 'touffasse']
['touffasse', 'toussasse']
['toussassent', 'touffassent']
['touffassent', 'toussassent']
['toussasses', 'touffasses']
['touffasses', 'toussasses']
['toussassiez', 'touffassiez']
['touffassiez', 'toussassiez']
['toussassions', 'touffassions']
['touffassions', 'toussassions']
['tousse', 'touffe']
['toussent', 'touffent']
['tousser', 'touffer']
['toussera', 'touffera']
['tousserai', 'toufferai']
['tousseraient', 'toufferaient']
['tousserais', 'toufferais']
['tousserait', 'toufferait']
['tousseras', 'toufferas']
['tousserez', 'toufferez']
['tousseriez', 'toufferiez']
['tousserions', 'toufferions']
['tousserons', 'toufferons']
['tousseront', 'toufferont']
['tousses', 'touffes']
['tousseur', 'touffeur']
['tousseurs', 'touffeurs']
['toussez', 'touffez']
['toussiez', 'touffiez']
['toussions', 'touffions']
['toussons', 'touffons']
['toussâmes', 'touffâmes']
['toussât', 'touffât']
['toussâtes', 'touffâtes']
['toussèrent', 'touffèrent']
['toussé', 'touffé']
['tubérisiez', 'tubérifiez']
['tubérisions', 'tubérifions']
['turquisiez', 'turquifiez']
['turquisions', 'turquifions']
['typisiez', 'typifiez']
['typisions', 'typifions']
['urbanisiez', 'urbanifiez']
['urbanisions', 'urbanifions']
['électrisiez', 'électrifiez']
['électrisions', 'électrifions']
['étatisiez', 'étatifiez']
['étatisions', 'étatifions']
['éthérisiez', 'éthérifiez']
['éthérisions', 'éthérifions']
['bassa', 'baffa']
['bassas', 'baffas']
['loser', 'lofer']
['persos', 'perfos']
['prosit', 'profit']
['santoche', 'fantoche']
['slash', 'flash']
['flash', 'slash']
['slush', 'flush']
['flush', 'slush']
['souillage', 'fouillage']
['soule', 'foule']
['sui', 'fui']
